Title,Rating,Voting,Duration,Genre_Title
1. Flow,7.9, (55K),1h 25m,Animation
2. The Wild Robot,8.2, (150K),1h 42m,Animation
3. The Lord of the Rings: The War of the Rohirrim,6.3, (27K),2h 14m,Animation
4. Mufasa: The Lion King,6.6, (47K),1h 58m,Animation
5. Despicable Me 4,6.2, (62K),1h 34m,Animation
6. Moana 2,6.7, (84K),1h 40m,Animation
7. Spermageddon,5.7, (564),1h 20m,Animation
8. Inside Out 2,7.5, (210K),1h 36m,Animation
9. Memoir of a Snail,7.8, (15K),1h 35m,Animation
10. Wallace & Gromit: Vengeance Most Fowl,7.5, (32K),1h 22m,Animation
11. Night of the Zoopocalypse,6.2, (294),1h 31m,Animation
12. Transformers One,7.6, (47K),1h 44m,Animation
13. IF,6.4, (56K),1h 44m,Animation
14. Attack on Titan the Movie: The Last Attack,9.3, (14K),2h 25m,Animation
15. Solo Leveling: ReAwakening,8.7, (6K),2h 1m,Animation
16. The Day the Earth Blew Up: A Looney Tunes Movie,6.8, (1.2K),1h 31m,Animation
17. The Garfield Movie,5.7, (23K),1h 41m,Animation
18. Kung Fu Panda 4,6.3, (66K),1h 34m,Animation
19. Harold and the Purple Crayon,5.7, (7.8K),1h 30m,Animation
20. Grand Theft Hamlet,6.9, (1.5K),1h 29m,Animation
21. Watchmen: Chapter I,7.0, (6.2K),1h 23m,Animation
22. A Sloth Story,5.9, (160),1h 30m,Animation
23. Look Back,7.8, (14K),58m,Animation
24. Hitpig,5.1, (817),1h 26m,Animation
25. Spellbound,5.7, (6.3K),1h 49m,Animation
26. Piece by Piece,6.9, (5K),1h 33m,Animation
27. Watchmen: Chapter II,7.0, (2.7K),1h 30m,Animation
28. Megamind vs. The Doom Syndicate,2.5, (5.4K),1h 23m,Animation
29. Saving Bikini Bottom: The Sandy Cheeks Movie,3.7, (3.7K),1h 22m,Animation
30. Orion and the Dark,6.3, (17K),1h 33m,Animation
31. The Remarkable Life of Ibelin,8.2, (12K),1h 43m,Animation
32. My Hero Academia: You're Next,7.0, (1.9K),1h 50m,Animation
33. That Christmas,6.8, (17K),1h 31m,Animation
34. Justice League: Crisis on Infinite Earths - Part One,6.2, (8.3K),1h 33m,Animation
35. Thelma the Unicorn,5.7, (2.9K),1h 33m,Animation
36. The Lost Tiger,7.8, (31),1h 30m,Animation
37. Justice League: Crisis on Infinite Earths - Part Three,6.1, (4.3K),1h 34m,Animation
38. The Most Precious of Cargoes,7.2, (678),1h 21m,Animation
39. The Tiger's Apprentice,5.8, (2.1K),1h 24m,Animation
40. Crayon Shin-chan: Ora's Dinosaur Diary,6.6, (303),1h 46m,Animation
41. 10 Lives,5.9, (1.8K),1h 28m,Animation
42. Doraemon the Movie: Nobita's Earth Symphony,6.6, (1.4K),1h 55m,Animation
43. Ultraman: Rising,6.9, (6.2K),1h 57m,Animation
44. Storm Crashers,6.3, (549),1h 28m,Animation
45. 200% Wolf,6.0, (1.3K),1h 38m,Animation
46. Dragonkeeper,5.7, (1.6K),1h 38m,Animation
47. Woody Woodpecker Goes to Camp,4.5, (2.5K),1h 40m,Animation
48. Limonov: The Ballad of Eddie,6.0, (724),2h 18m,Animation
49. Dan Da Dan: First Encounter,8.2, (2.5K),1h 23m,Animation
50. Re: Zero - Starting Life in Another World- Season 3 Episode 1 90-minute Special 'Theatrical Malice',8.7, (962),1h 30m,Animation
51. The Colors Within,7.2, (792),1h 41m,Animation
52. Mars,8.9, (19),1h 24m,Animation
53. Mononoke the Movie: The Phantom in the Rain,6.8, (1.1K),1h 29m,Animation
54. Justice League: Crisis on Infinite Earths - Part Two,5.5, (5.2K),1h 34m,Animation
55. Buffalo Kids,6.6, (622),1h 33m,Animation
56. From Ground Zero,7.9, (490),1h 52m,Animation
57. Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,7.1, (8.2K),1h 44m,Animation
58. Shrek 5: The Contract - A Fan Made Film,7.0, (18),1h 24m,Animation
59. Frida,7.5, (1.5K),1h 27m,Animation
60. Haikyu!! The Dumpster Battle,7.7, (6K),1h 25m,Animation
61. Rebellious,6.0, (155),1h 34m,Animation
62. Johnny Puff: Secret Mission,4.8, (431),1h 27m,Animation
63. Overlord: The Sacred Kingdom,7.0, (695),2h 15m,Animation
64. Ghost Cat Anzu,6.5, (672),1h 37m,Animation
65. The Night Before Christmas in Wonderland,6.3, (506),1h 20m,Animation
66. My Freaky Family,6.5, (384),1h 26m,Animation
67. Ryan's World the Movie: Titan Universe Adventure,1.8, (633),1h 20m,Animation
68. Savages,7.0, (265),1h 27m,Animation
69. Lesbian Space Princess,8.1, (95),1h 27m,Animation
70. Gracie and Pedro: Pets to the Rescue,5.1, (255),1h 27m,Animation
71. Super-Charlie,6.4, (102),1h 20m,Animation
72. Boys Go to Jupiter,7.0, (87),1h 30m,Animation
73. Blue Lock: Episode Nagi,6.6, (2.4K),1h 31m,Animation
74. Fox & Hare Save the Forest,5.9, (191),1h 11m,Animation
75. Noah's Ark,4.3, (623),1h 36m,Animation
76. White Snake: Afloat,6.9, (426),2h 13m,Animation
77. My Oni Girl,6.0, (1.7K),1h 52m,Animation
78. Kid Santa,,,,Animation
79. The Glassworker,7.6, (1.5K),1h 38m,Animation
80. Living Large,7.8, (98),1h 20m,Animation
81. Out of the Nest,7.6, (100),1h 24m,Animation
82. The Quintessential Quintuplets Specials 2,7.1, (110),46m,Animation
83. Dalia y el Libro Rojo,7.0, (32),1h 47m,Animation
84. Panda Bear in Africa,5.5, (307),1h 24m,Animation
85. My Redneck Neighbor: Chapter 2 - Let the Games Begin,,,,Animation
86. Baki Hanma VS Kengan Ashura,5.7, (1.9K),1h 2m,Animation
87. Xiong Shi Shao Nian 2,7.5, (182),2h 14m,Animation
88. No Time to Spy: A Loud House Movie,6.4, (432),1h 21m,Animation
89. Mobile Suit Gundam SEED Freedom,6.6, (922),2h 4m,Animation
90. Bocchi the Rock! Re:,7.5, (141),1h 30m,Animation
"91. Maya, donne-moi un titre",6.5, (46),1h 1m,Animation
92. The Casagrandes Movie,5.6, (650),1h 29m,Animation
93. Angelo dans la forêt mystérieuse,6.6, (103),1h 21m,Animation
94. Taisu Xilie,,,,Animation
95. Heartsping : Teenieping of Love,6.9, (21),TV-Y,Animation
96. Rafadan Tayfa: Kapadokya,6.7, (109),1h 24m,Animation
97. Kizumonogatari: Koyomi Vamp,6.9, (79),2h 24m,Animation
98. Big City Greens the Movie: Spacecation,6.2, (528),TV-Y7,Animation
99. Detective Conan: The Million-Dollar Pentagram,6.8, (1.4K),1h 51m,Animation
100. Bocchi the Rock! Re: Re:,7.9, (87),1h 17m,Animation
101. Slocum et moi,7.4, (63),1h 15m,Animation
102. Sabbath Queen,8.0, (56),1h 45m,Animation
103. Schirkoa: In Lies We Trust,5.6, (153),1h 43m,Animation
104. Trapezium,6.4, (127),1h 42m,Animation
105. Hola Frida,7.1, (20),1h 22m,Animation
106. Exorcism Chronicles: The Beginning,7.0, (62),1h 25m,Animation
107. Dongeng Sang Kancil,8.1, (76),1h 39m,Animation
108. Dead Dead Demon's Dededede Destruction,7.0, (135),2h,Animation
109. Si Juki the Movie: Harta Pulau Monyet,6.0, (114),1h 47m,Animation
110. Sanatorium Under the Sign of the Hourglass,5.2, (87),1h 15m,Animation
111. Dragon Ball Z Kai,8.4, (65),1h 22m,Animation
112. Kvitebjørn,5.9, (51),1h 25m,Animation
113. Goldbeak,4.9, (125),1h 34m,Animation
114. Wonderful Precure! The Movie! Doki Doki Game no Sekai de Daiboken,6.8, (25),1h 11m,Animation
115. The Proud Princess,7.1, (97),1h 24m,Animation
116. Niko: Beyond the Northern Lights,6.3, (290),1h 26m,Animation
117. Mariposas Negras,7.0, (44),1h 23m,Animation
118. SuperKlaus,4.3, (189),1h 28m,Animation
119. Mustafa,6.9, (73),1h 15m,Animation
120. Animal Tales of Christmas Magic,6.8, (50),1h 12m,Animation
121. Little Emma,5.7, (97),1h 46m,Animation
122. Peppa's Cinema Party,5.0, (152),1h 5m,Animation
123. Diplodocus,6.5, (157),1h 30m,Animation
124. The Big Trip 3: Race Around the World,5.8, (49),1h 25m,Animation
