Title,Rating,Voting,Duration,Genre_Title
1. A Complete Unknown,7.4, (57K),2h 21m,Biography
2. I'm Still Here,8.5, (91K),2h 17m,Biography
3. The Apprentice,7.1, (49K),2h 2m,Biography
4. Queen of the Ring,7.1, (699),2h 20m,Biography
5. William Tell,5.7, (1.5K),2h 13m,Biography
6. Better Man,7.6, (21K),2h 15m,Biography
7. Saturday Night,6.9, (29K),1h 49m,Biography
8. Maria,6.4, (18K),2h 4m,Biography
9. Queer,6.5, (17K),2h 17m,Biography
10. Reagan,6.2, (11K),2h 21m,Biography
11. Nr. 24,7.5, (14K),1h 51m,Biography
12. Unfrosted,5.5, (34K),1h 37m,Biography
13. Bonhoeffer: Pastor. Spy. Assassin.,6.3, (3.3K),2h 13m,Biography
14. Ordinary Angels,7.4, (15K),1h 58m,Biography
15. Winner,6.5, (2.2K),1h 43m,Biography
16. Back to Black,6.3, (26K),2h 2m,Biography
17. Young Woman and the Sea,7.5, (16K),2h 9m,Biography
18. Joy,7.1, (8.9K),1h 55m,Biography
19. Elton John: Never Too Late,6.5, (1.8K),1h 42m,Biography
20. Rob Peace,6.6, (1.8K),2h,Biography
21. Bob Marley: One Love,6.2, (34K),1h 47m,Biography
22. Piece by Piece,6.9, (5K),1h 33m,Biography
23. Cabrini,7.3, (8.4K),2h 22m,Biography
24. Faith of Angels,5.9, (166),1h 38m,Biography
25. Audrey's Children,8.7, (64),1h 50m,Biography
26. Scoop,6.5, (20K),1h 42m,Biography
27. Monsieur Aznavour,7.3, (2.1K),2h 13m,Biography
28. Super/Man: The Christopher Reeve Story,8.0, (8.7K),1h 44m,Biography
29. The Remarkable Life of Ibelin,8.2, (12K),1h 43m,Biography
30. Chhava,8.6, (2.2K),51m,Biography
31. The Fire Inside,6.8, (2.1K),1h 49m,Biography
32. Harbin,6.6, (467),1h 48m,Biography
33. Amaran,8.2, (18K),2h 47m,Biography
34. Maharaj,6.5, (15K),2h 11m,Biography
35. Midas Man,6.4, (1.4K),1h 52m,Biography
36. El 47,7.2, (3.1K),1h 50m,Biography
37. Goebbels and the Führer,6.7, (1.9K),2h 15m,Biography
38. Being Maria,6.1, (517),1h 40m,Biography
