Title,Rating,Voting,Duration,Genre_Title
1. Emilia Pérez,5.4, (83K),2h 12m,Crime
2. The Order,6.8, (37K),1h 56m,Crime
3. Longlegs,6.6, (177K),1h 41m,Crime
4. Riff Raff,6.3, (773),1h 43m,Crime
5. Pushpa: The Rule - Part 2,6.1, (54K),3h 21m,Crime
6. Despicable Me 4,6.2, (62K),1h 34m,Crime
7. Juror #2,7.0, (90K),1h 54m,Crime
8. MaXXXine,6.3, (67K),1h 43m,Crime
9. The Seed of the Sacred Fig,7.6, (12K),2h 47m,Crime
10. Carry-On,6.5, (159K),1h 59m,Crime
11. The Crow,4.7, (32K),1h 51m,Crime
12. The Beekeeper,6.3, (152K),1h 45m,Crime
13. Trap,5.8, (128K),1h 45m,Crime
14. Wolfs,6.5, (78K),1h 48m,Crime
15. Rebel Ridge,6.8, (85K),2h 11m,Crime
16. Bad Boys: Ride or Die,6.5, (98K),1h 55m,Crime
17. Lucky Baskhar,8.0, (29K),2h 28m,Crime
18. Monkey Man,6.8, (90K),2h 1m,Crime
19. Love Lies Bleeding,6.6, (55K),1h 44m,Crime
20. Freaky Tales,6.5, (362),1h 46m,Crime
21. Absolution,5.2, (7.3K),1h 52m,Crime
22. Greedy People,6.2, (11K),1h 52m,Crime
23. Sleeping Dogs,6.2, (21K),1h 50m,Crime
24. Lift,5.5, (49K),1h 47m,Crime
25. Beverly Hills Cop: Axel F,6.4, (80K),1h 58m,Crime
26. Beating Hearts,7.0, (4K),2h 46m,Crime
27. The Instigators,6.2, (37K),1h 41m,Crime
28. Blackwater Lane,4.6, (1.7K),1h 48m,Crime
29. Killer Heat,5.6, (13K),1h 35m,Crime
30. Misericordia,6.9, (1.5K),1h 44m,Crime
31. Brothers,5.4, (13K),1h 29m,Crime
32. Maharaja,8.4, (65K),2h 21m,Crime
33. The Thicket,5.8, (2.9K),1h 48m,Crime
34. Long Gone Heroes,5.2, (946),1h 41m,Crime
35. The Silent Hour,6.1, (7K),1h 39m,Crime
36. Hitpig,5.1, (817),1h 26m,Crime
37. The Shadow Strays,6.5, (8.9K),2h 24m,Crime
38. Twilight of the Warriors: Walled In,7.0, (8.8K),2h 6m,Crime
39. The Calendar Killer,5.4, (3.9K),1h 37m,Crime
40. Trigger Warning,4.6, (19K),1h 46m,Crime
41. Inside,7.0, (207),1h 44m,Crime
42. Boneyard,4.1, (4.8K),1h 36m,Crime
43. Armor,3.5, (3.6K),1h 29m,Crime
44. Megamind vs. The Doom Syndicate,2.5, (5.4K),1h 23m,Crime
45. The Unholy Trinity,7.9, (48),1h 33m,Crime
46. Damaged,4.7, (7.1K),1h 37m,Crime
47. Force of Nature: The Dry 2,5.9, (6.6K),2h,Crime
48. Santosh,7.0, (1.4K),2h 8m,Crime
49. The Soul Eater,5.9, (2.4K),1h 48m,Crime
50. Mea Culpa,4.2, (6.9K),2h,Crime
51. Sector 36,7.1, (25K),2h 3m,Crime
52. Harbin,6.6, (467),1h 48m,Crime
53. Dead Sea,5.3, (5.2K),1h 28m,Crime
54. Ma Este Gyilkolunk,5.1, (509),,Crime
55. Bogota: City of the Lost,5.4, (1.8K),1h 48m,Crime
56. Broken Rage,6.1, (1.2K),1h 2m,Crime
57. Trouble,6.2, (6.6K),1h 38m,Crime
58. Jönssonligan kommer tillbaka,6.0, (884),1h 44m,Crime
59. The Thundermans Return,5.0, (1.8K),1h 10m,Crime
60. Here Now,4.8, (264),1h 58m,Crime
61. Colors of Evil: Red,6.4, (8.3K),1h 51m,Crime
62. Code 8: Part II,5.7, (16K),1h 40m,Crime
63. Strictly Confidential,2.8, (825),1h 34m,Crime
64. Drugstore June,5.3, (1.6K),1h 31m,Crime
65. Depravity,4.3, (900),1h 57m,Crime
66. Lake George,6.3, (836),1h 58m,Crime
67. Maharaj,6.5, (15K),2h 11m,Crime
68. Detained,4.9, (1.4K),1h 37m,Crime
69. Sikandar Ka Muqaddar,6.0, (24K),2h 22m,Crime
70. Rats!,8.1, (75),1h 25m,Crime
71. What Jennifer Did,6.1, (11K),1h 27m,Crime
72. First Shift,4.4, (2K),1h 29m,Crime
73. Badland Hunters,5.9, (12K),1h 47m,Crime
74. Laws of Man,4.1, (319),1h 38m,Crime
75. The Courier,6.0, (4.3K),1h 41m,Crime
76. The Roundup: Punishment,6.6, (5K),1h 49m,Crime
77. Raayan,6.5, (11K),2h 25m,Crime
78. Darkness of Man,4.8, (3.1K),1h 49m,Crime
79. Officer Black Belt,6.8, (7.9K),1h 48m,Crime
80. Do Patti,6.4, (68K),2h 6m,Crime
81. Duchess,4.6, (1.2K),1h 54m,Crime
82. Ride,5.9, (365),1h 54m,Crime
83. Bougainvillea,6.4, (3K),2h 18m,Crime
84. The Quiet Ones,6.5, (506),1h 50m,Crime
85. Pani,6.9, (2.7K),2h 23m,Crime
86. In Her Place,6.2, (1.4K),1h 36m,Crime
87. City Hunter,6.3, (5.5K),1h 42m,Crime
"88. I, the Executioner",6.3, (1.5K),1h 58m,Crime
89. Justice,6.3, (3.7K),1h 53m,Crime
90. Marmalade,6.2, (3.5K),1h 39m,Crime
91. Cult Killer,4.8, (2.7K),1h 45m,Crime
92. Golam,7.2, (5.4K),2h,Crime
93. El Jockey,6.5, (1.5K),1h 36m,Crime
94. A Place Called Silence,6.5, (1.2K),1h 59m,Crime
95. Barron's Cove,8.0, (28),1h 56m,Crime
96. Crescent City,3.9, (1.3K),1h 43m,Crime
97. The Trainer,7.2, (51),1h 35m,Crime
98. Lover Stalker Killer,7.0, (13K),1h 30m,Crime
99. 5lbs of Pressure,5.3, (1.5K),1h 51m,Crime
100. Ferry 2,5.6, (3.7K),1h 34m,Crime
101. Papa,7.5, (281),2h 11m,Crime
102. Freedom,5.9, (1.3K),1h 50m,Crime
103. The Sabarmati Report,6.4, (24K),2h 7m,Crime
104. Ulajh,6.0, (24K),2h 30m,Crime
105. Hijack 1971,6.8, (3.2K),1h 40m,Crime
106. King Ivory,7.2, (60),2h 10m,Crime
107. The Clean Up Crew,4.1, (1.1K),1h 35m,Crime
108. Compulsion,,,,Crime
109. Bloodline Killer,3.8, (4.4K),1h 45m,Crime
110. Daredevil vs Punisher,,,,Crime
111. Guns & Moses,8.2, (38),1h 34m,Crime
112. Boundless,5.6, (1.8K),2h 1m,Crime
113. Bhakshak,7.2, (7.1K),2h 14m,Crime
114. Savi,6.2, (35K),2h 6m,Crime
115. Revolver,5.4, (815),1h 54m,Crime
116. Shoutai,6.9, (464),2h,Crime
117. The Smile Man,7.7, (1.5K),2h 2m,Crime
118. The Park Maniac,4.8, (1.5K),1h 43m,Crime
119. Cookster: The Darkest Days,8.3, (35),1h 59m,Crime
120. Dead Wrong,3.8, (255),1h 44m,Crime
121. Biggest Heist Ever,6.1, (1.4K),1h 25m,Crime
122. To a Land Unknown,7.3, (426),1h 45m,Crime
123. Two to One,6.0, (676),1h 56m,Crime
124. Rakshana,5.6, (1.1K),2h 19m,Crime
125. Vettaiyan,7.0, (39K),2h 43m,Crime
126. Jailbreak: Love on the Run,6.4, (3K),1h 28m,Crime
127. Dead Mail,6.7, (279),1h 46m,Crime
128. Strangers,4.3, (371),1h 46m,Crime
129. Wanted Man,4.8, (2.5K),1h 25m,Crime
130. A Gangster's Kiss,4.9, (45),1h 21m,Crime
131. The Lockdown,4.3, (594),1h 57m,Crime
132. Sicilian Letters,6.1, (568),2h 2m,Crime
133. Viduthalai Part 2,8.0, (15K),2h 50m,Crime
134. Thalavan,7.2, (4.4K),2h 11m,Crime
135. GTMax,5.0, (1.2K),1h 40m,Crime
136. Nice Girls,4.2, (1.2K),1h 32m,Crime
137. Last Known Location,6.3, (1.3K),1h 50m,Crime
138. Saripodhaa Sanivaaram,7.0, (8.8K),2h 46m,Crime
139. Maldoror,7.1, (530),2h 35m,Crime
140. Anweshippin Kandethum,7.4, (10K),2h 22m,Crime
141. The Kingdom,7.0, (618),1h 48m,Crime
142. Bermondsey Tales: Fall of the Roman Empire,4.4, (174),1h 39m,Crime
143. Kingsmen,6.4, (45),1h 12m,Crime
144. Mission: Cross,6.1, (2.5K),1h 45m,Crime
145. Roadkill,3.6, (672),1h 30m,Crime
146. Anand Sreebala,6.6, (2.3K),2h 14m,Crime
147. Lady Scorpions,3.6, (361),1h 41m,Crime
148. How to Rob a Bank,6.6, (4.1K),1h 28m,Crime
"149. Pooja, Sir",6.4, (711),1h 55m,Crime
150. Baby Assassins: Nice Days,7.3, (265),1h 43m,Crime
151. Un homme en fuite,5.4, (137),1h 46m,Crime
152. Belle,6.1, (17),1h 40m,Crime
153. Rob N Roll,6.1, (1.4K),1h 38m,Crime
154. Auron Mein Kahan Dum Tha,6.6, (40K),2h 30m,Crime
155. Serpent's Path,5.8, (272),1h 52m,Crime
156. Dhakshina,6.9, (5.2K),1h 47m,Crime
157. Toofan,7.1, (6.1K),2h 25m,Crime
158. The Birds Who Fear Death,9.4, (69),1h 42m,Crime
159. Citizen of a Kind,6.7, (768),1h 54m,Crime
160. Untamed Royals,4.6, (620),1h 39m,Crime
161. La Familia,7.5, (33),,Crime
162. Amish Affair,5.5, (195),1h 26m,Crime
163. Hellhound,4.3, (482),1h 43m,Crime
164. They Called Him Mostly Harmless,5.9, (3.2K),1h 29m,Crime
165. Diddy: Summit to Plummet,2.2, (198),1h,Crime
166. Scorched Earth,6.7, (500),1h 41m,Crime
167. Visfot,5.7, (1.1K),2h 10m,Crime
168. Kahar: Kapla High Council,6.9, (438),1h 42m,Crime
169. Phir Aayi Hasseen Dillruba,5.8, (6.7K),2h 12m,Crime
170. Silver Star,7.1, (13),1h 42m,Crime
171. Zebra,8.0, (3.2K),2h 44m,Crime
172. Bangkok Breaking: Heaven and Hell,5.8, (651),2h 26m,Crime
173. The Actor,3.3, (722),2h 8m,Crime
174. A Bronx Tale: The Original One Man Show,8.7, (13),,Crime
175. Dirty Ice Cream,4.5, (116),47m,Crime
176. Tillu Square,6.6, (3.4K),2h 17m,Crime
177. She's Got No Name,7.0, (45),2h 30m,Crime
178. Siren,6.4, (2.9K),2h 34m,Crime
179. ChiefsAholic: A Wolf in Chiefs Clothing,6.2, (365),2h 1m,Crime
180. Borderless Fog,5.2, (1.3K),1h 50m,Crime
181. The Shameless,5.6, (187),1h 54m,Crime
182. Mr. Bachchan,3.6, (5.2K),2h 30m,Crime
183. Estômago II: O Poderoso Chef,5.8, (311),2h 11m,Crime
184. Sorgavaasal,6.6, (1.3K),2h 18m,Crime
185. Nunakuzhi,6.8, (2.9K),2h 5m,Crime
186. Jersey Bred,4.9, (40),1h 32m,Crime
187. 10 Days of a Curious Man,5.8, (1.2K),1h 50m,Crime
"188. MoviePass, MovieCrash",6.7, (2.8K),1h 36m,Crime
189. Rautu Ka Raaz,6.3, (1.9K),1h 54m,Crime
190. The Kingdom,7.9, (85),2h 13m,Crime
191. The Truth vs. Alex Jones,7.5, (3K),2h 1m,Crime
192. (Pri)sons,5.0, (247),1h 40m,Crime
193. Untold: The Murder of Air McNair,5.6, (2K),57m,Crime
194. Bangkok Dog,6.4, (94),1h 25m,Crime
195. Lóve 2,4.9, (53),,Crime
196. Operation Raavan,8.4, (1.2K),2h 27m,Crime
197. Havnaa,7.3, (215),1h 50m,Crime
198. Unspoken,8.2, (47),2h,Crime
199. Abraham Ozler,6.5, (4.1K),2h 23m,Crime
200. Svemu dodje kraj,6.7, (250),1h 29m,Crime
201. Crisis Negotiators,6.7, (690),2h,Crime
202. Nahir,4.7, (1.1K),2h 2m,Crime
203. Killer Babes,3.5, (282),1h 34m,Crime
204. Sheriff,6.9, (1.1K),2h 13m,Crime
205. Sayara,5.7, (265),1h 38m,Crime
206. Plastic Guns,6.3, (582),1h 35m,Crime
207. Fyre Rises,6.5, (321),1h 50m,Crime
208. 9 Windows,3.7, (301),1h 22m,Crime
209. The Texas Cheerleader Murder Plot,5.0, (289),1h 40m,Crime
210. In Youth We Trust,7.8, (65),2h 12m,Crime
211. Blackia 2,5.9, (125),2h 12m,Crime
212. Dengeler,5.6, (67),2h 3m,Crime
213. Le Mohican,7.0, (137),1h 27m,Crime
214. Nefarious,7.0, (52),1h 25m,Crime
215. Love You to Debt,6.2, (744),2h 15m,Crime
216. No Cap,5.8, (33),1h 48m,Crime
217. Assault in Progress,7.0, (16),,Crime
"218. Extraction, USA",7.5, (51),,Crime
219. Drive,5.6, (310),1h 30m,Crime
220. Silvio,3.0, (492),1h 54m,Crime
221. Murder and Cocktails,4.0, (356),1h 28m,Crime
222. Happy Birthday Luci,9.4, (55),,Crime
223. Midas,4.6, (331),1h 25m,Crime
224. Krista,5.6, (44),58m,Crime
225. Zabt,6.0, (19),,Crime
"226. Hemet, or the Landlady Don't Drink Tea",4.3, (85),1h 29m,Crime
227. Kaulayaw,4.5, (126),1h 35m,Crime
228. Troll Factory,5.8, (460),1h 49m,Crime
229. Green Bones,7.7, (179),1h 36m,Crime
230. Vina: Before 7 Days,5.4, (569),1h 40m,Crime
231. Double or Nothing,,,,Crime
232. Modal Nekad,7.7, (84),1h 47m,Crime
233. Quotation Gang Part 1,8.8, (20),1h 58m,Crime
234. Hunt the Wicked,5.2, (105),1h 42m,Crime
235. Ten Toes Down,8.0, (31),,Crime
236. Prepare to Die,4.6, (228),1h 33m,Crime
237. Kurukku,6.6, (529),1h 49m,Crime
238. Dracula: The Count's Kin,5.0, (44),,Crime
239. Cubic Zirconia,7.5, (58),,Crime
240. Conquer: Lahad Datu,6.7, (494),2h,Crime
241. Mirza: Part 1 - Joker,6.8, (236),2h 45m,Crime
242. The Shadow,6.5, (230),1h 30m,Crime
243. Kondal,5.4, (761),2h 27m,Crime
244. The Waterboyz,7.9, (83),1h 29m,Crime
245. Shakhahaari,7.5, (1.3K),2h 25m,Crime
246. Dream Team,5.2, (59),1h 31m,Crime
247. Where Is Gilgamesh?,9.0, (603),1h 30m,Crime
248. Chris Brown: A History of Violence,5.4, (304),1h 22m,Crime
249. The Epidemic,5.8, (69),1h 35m,Crime
250. Below the Rim,5.0, (14),1h 29m,Crime
251. Team of Two,5.1, (106),,Crime
252. Ballistic,2.3, (161),1h 35m,Crime
253. Sattam En Kaiyil,8.0, (2.2K),2h 4m,Crime
254. The Mick and the Trick,5.0, (75),1h 36m,Crime
255. What Happens in Miami,4.3, (218),1h 30m,Crime
256. Matka,4.7, (571),2h 36m,Crime
257. High Forces,5.8, (499),1h 59m,Crime
258. Kiss of the Con Queen,8.0, (25),1h 57m,Crime
259. The Seven Sorrows of Mary,6.7, (22),1h 38m,Crime
260. Poslednji strelac,5.5, (249),1h 30m,Crime
261. Peg O' My Heart,5.8, (48),1h 37m,Crime
262. The Bodyguard,6.6, (26),1h 27m,Crime
263. Formed Police Unit,4.6, (472),2h,Crime
264. Red,4.5, (93),1h 54m,Crime
265. The Moon Thieves,6.2, (223),1h 48m,Crime
266. S.I.T,7.9, (2.3K),1h 50m,Crime
267. Filthy Animals,7.4, (87),1h 36m,Crime
268. Cry of Silence,6.4, (65),1h 56m,Crime
269. Ghost Killer,7.2, (58),1h 45m,Crime
270. Andhagan,6.7, (1.2K),2h 22m,Crime
271. Sons of Rizk 3,6.7, (1.6K),2h 5m,Crime
272. The Final: Attack on Wembley,6.3, (2.4K),1h 22m,Crime
273. Dead Man,5.1, (203),1h 49m,Crime
274. The Murder of Sandra Rivett,6.2, (140),1h 30m,Crime
275. Silence 2: The Night Owl Bar Shootout,6.2, (1.9K),2h 22m,Crime
276. Prasanna Vadanam,6.6, (530),2h 26m,Crime
277. RapeD,7.0, (28),1h 45m,Crime
278. Get Close 2,5.7, (44),,Crime
279. Vrutos,9.0, (6),1h 40m,Crime
280. Go for Broke,5.7, (268),1h 55m,Crime
281. Passages of Nexus,6.3, (178),1h 48m,Crime
282. Plea,7.1, (21),1h 28m,Crime
283. Miséria,5.3, (99),1h 39m,Crime
284. Faultline,6.2, (62),1h 32m,Crime
285. Remedy,4.1, (260),1h 22m,Crime
286. They Turned Us Into Killers,2.8, (247),1h 26m,Crime
287. Bhaje Vaayu Vegam,6.1, (540),2h 16m,Crime
288. Uno,8.7, (30),,Crime
289. Take Good Care,,,,Crime
290. Common Sense,2.5, (19),1h 8m,Crime
291. Bars,6.1, (22),2h 15m,Crime
292. Perfect Blue,,,,Crime
293. Gold Boy,6.5, (122),2h 9m,Crime
294. The Plot,4.8, (360),1h 40m,Crime
295. Sentimentaaal,5.8, (971),2h 15m,Crime
296. Loverboy: Emoties Uit,6.5, (417),1h 38m,Crime
297. Protein,6.6, (59),1h 40m,Crime
298. Døde menn går på ski,5.5, (188),1h 29m,Crime
299. Metamorfosi dell'essere,9.6, (23),,Crime
300. Thirumbipaar,5.9, (239),1h 41m,Crime
301. Rebel,3.2, (64),1h 40m,Crime
302. The Shakedown,5.0, (303),1h 44m,Crime
303. Desperado,5.9, (139),1h 40m,Crime
304. Bury Him,7.3, (12),1h 28m,Crime
305. Nastupit leto,7.0, (12),1h 34m,Crime
306. Rock,2.6, (10),,Crime
307. The Best of Me,,,,Crime
308. Wannabe,4.6, (123),1h 42m,Crime
309. Dandupalayam,5.9, (1.3K),2h 17m,Crime
310. The Experts,6.2, (258),2h 1m,Crime
311. Kingdom Reign,8.8, (33),1h 59m,Crime
312. Money No Enough 3,6.0, (259),2h 18m,Crime
313. Dutch II: Angel's Revenge,6.7, (85),,Crime
314. Breaking the Silence: The Maria Soledad Case,6.4, (508),1h 35m,Crime
315. Road to Terzetto,7.3, (27),1h 36m,Crime
316. Io e te dobbiamo parlare,4.2, (137),1h 35m,Crime
317. Samandar,7.6, (136),2h 52m,Crime
318. Bastar: The Naxal Story,6.4, (3.3K),2h 4m,Crime
319. Dirty Money,5.7, (107),1h 40m,Crime
320. The Legend of DOC MAYS,,,,Crime
321. DNA,5.2, (209),2h 36m,Crime
"322. LSD 2: Love, Sex Aur Dhokha 2",3.8, (2.8K),1h 59m,Crime
323. Bheema,5.8, (947),2h 28m,Crime
324. Suspicion,3.6, (204),1h 55m,Crime
325. Satyabhama,5.9, (1.5K),2h 12m,Crime
326. Hustlers Take All,5.5, (80),1h 46m,Crime
327. Bond of Justice: Kizuna Part I - Encounter,6.1, (17),1h 32m,Crime
328. Oru Nodi,6.7, (501),2h 8m,Crime
329. Case of Kondana,5.8, (571),2h 23m,Crime
330. Dickweed,7.1, (35),1h 30m,Crime
331. Vares X,3.7, (109),1h 25m,Crime
332. Saindhav,5.0, (1.6K),2h 18m,Crime
333. The Star City Murders,4.1, (141),1h 19m,Crime
334. Agent Jayne,7.3, (258),,Crime
335. Reloaded 2,8.1, (996),45m,Crime
336. Texas Twister,2.5, (157),1h 28m,Crime
337. Bodiless,5.7, (979),1h 30m,Crime
338. Octopus with Broken Arms,6.2, (151),1h 49m,Crime
339. Yalakunni,8.9, (166),2h 15m,Crime
340. Hit List,5.5, (309),2h 5m,Crime
341. A Brothers Bond,9.8, (11),,Crime
342. Desperate Sniper,,,,Crime
343. Jamalinte Punjiri,9.2, (160),,Crime
344. Remember Us,6.2, (38),1h 36m,Crime
345. Cursed in Baja,8.2, (19),1h 20m,Crime
346. Holiday Hold-Up,5.6, (63),1h 29m,Crime
347. Chor Dil,7.4, (37),2h 15m,Crime
348. Oppa,8.5, (46),1h 24m,Crime
349. The Worst Man in London,5.7, (144),2h 7m,Crime
350. The Infallibles,4.8, (744),1h 39m,Crime
351. Little Jaffna,7.0, (38),1h 40m,Crime
352. Nirangal Moondru,6.1, (524),2h 2m,Crime
353. Raktaksha,8.5, (1.4K),1h 58m,Crime
354. Tiger Wolf Rabbit,6.2, (461),2h 6m,Crime
355. Shivam Bhaje,7.9, (3K),2h 1m,Crime
356. Reputation,,,,Crime
357. Piano Love,5.2, (13),1h 36m,Crime
358. All That Glitters,8.0, (36),,Crime
359. Kaliyugam Pattanamlo,6.7, (2.2K),2h 30m,Crime
360. One Last Time,7.0, (15),1h 22m,Crime
361. Chameleon,6.0, (30),2h 13m,Crime
362. Duffle Bag Boy,6.9, (56),,Crime
363. Chitram Choodara,4.5, (14),2h 7m,Crime
364. Gam Gam Ganesha,5.3, (307),2h 20m,Crime
365. Young Lion of the West,8.1, (105),1h 33m,Crime
366. Hovering Blade,6.1, (229),1h 47m,Crime
367. Pattaya Heat,5.6, (219),1h 57m,Crime
368. Suspect,4.6, (75),1h 34m,Crime
369. The Unwavering Brotherhood,5.3, (75),1h 34m,Crime
370. Abudeka Is Back,5.2, (26),2h,Crime
371. Gini Avi Saha Gini Keli 2,7.0, (7),,Crime
372. Tòkunbò,3.9, (288),1h 53m,Crime
373. Shu Si Yi Bo,6.6, (32),1h 31m,Crime
374. Kiyma: Orman Kanunlari,4.3, (34),1h 21m,Crime
375. Hyde Out,7.2, (18),,Crime
376. Historias invisibles,6.4, (27),1h 50m,Crime
377. Second Life,6.9, (40),1h 45m,Crime
378. The Troll Hunter,,,,Crime
379. Kokuhaku Confession,5.6, (145),1h 14m,Crime
380. The Desperate Chase,5.5, (48),1h 50m,Crime
381. Accident or Conspiracy: Godhra,7.4, (777),2h 13m,Crime
382. Mathu Vadalara 2,7.0, (1.6K),2h 19m,Crime
383. PT Sir,6.8, (1.7K),2h 10m,Crime
384. Vivekam,8.2, (308),1h 44m,Crime
385. The 6th,,,,Crime
386. Mani nude,6.5, (17),,Crime
387. Beneath the Fold,8.0, (23),1h 20m,Crime
388. Muzhskoe slovo,6.3, (459),1h 34m,Crime
389. Gumasthan,5.8, (496),2h 25m,Crime
390. Kaçkin,8.0, (7),1h 44m,Crime
391. Best Man Dead Man,7.8, (7),1h 23m,Crime
392. Uninvited,6.7, (70),1h 33m,Crime
393. Housekeeping,6.0, (41),1h 38m,Crime
394. Tiempo de Pagar,7.5, (46),1h 3m,Crime
395. The Hostage,6.7, (9),,Crime
396. Castillo,8.1, (33),2h 8m,Crime
397. The Girl Who Wore Yellow Lace,,,,Crime
398. Ryding Durty,9.3, (7),,Crime
399. Villain - Life of a Gangster,8.9, (156),2h 21m,Crime
400. Sinful Lies,,,,Crime
401. My Home Hero the Movie,,,,Crime
402. Paraagan,,,,Crime
403. Chithini,6.0, (551),2h 31m,Crime
404. Yevam,6.1, (1.5K),2h 3m,Crime
405. Hain,2.9, (45),1h 35m,Crime
406. Danger in the Dorm,5.1, (149),1h 26m,Crime
407. The Donor,9.0, (9),23m,Crime
408. Vojna policajtov,6.5, (335),2h 30m,Crime
409. Pop the Pickel,,,,Crime
410. Brattt,4.7, (66),1h 57m,Crime
411. State of Silence,6.5, (108),1h 20m,Crime
412. Welcome to the Game,5.8, (61),1h 30m,Crime
413. Taxali Gate,6.6, (118),1h 35m,Crime
414. Martingale,5.4, (104),1h 43m,Crime
415. Molar,,,,Crime
416. Lipstick on the Glass,4.6, (12),1h 56m,Crime
417. Illusions for Sale: The Rise and Fall of Generation Zoe,6.2, (634),1h 47m,Crime
418. The Pee Pee Poo Poo Man,8.4, (15),1h 19m,Crime
419. Blood and Black,8.3, (1.1K),1h 28m,Crime
420. Dark Deceptions,6.4, (35),1h 22m,Crime
421. Una ballena,6.0, (47),1h 48m,Crime
422. Passport,,,,Crime
423. Game Over,5.6, (18),1h 14m,Crime
424. Telekinesis,5.9, (59),1h 46m,Crime
425. Murder in the Village: Who Killed the Doctor's Wife?,5.8, (63),,Crime
426. Soch - A perception,8.2, (38),,Crime
427. Porch Pirates,5.0, (100),1h 47m,Crime
428. Gossip to Die For,5.3, (81),1h 34m,Crime
429. Die Bloedhonde,6.3, (10),1h 37m,Crime
430. RTI,5.9, (26),2h 10m,Crime
431. Goon Squad,6.1, (18),,Crime
432. Pathological: The Lies of Joran van der Sloot,6.5, (342),1h 33m,Crime
433. The Notorious Finster,6.5, (87),,Crime
434. Baba Yaga,,,,Crime
435. Breathe,8.8, (43),,Crime
436. Searching for Amani,8.2, (23),1h 20m,Crime
437. Chapter 51,,,,Crime
438. Whatever It Takes,8.3, (14),1h 33m,Crime
439. The Hitmen,,,,Crime
440. Harom Hara,7.7, (3K),2h 34m,Crime
441. Nico,8.3, (43),1h 49m,Crime
442. Kala Ratri,6.8, (15),2h 2m,Crime
443. Bond of Justice: Kizuna Part II - Judgement,,,,Crime
444. G - 21 scener från Gottsunda,7.0, (177),1h 20m,Crime
445. His Truth Her Truth the Truth,,,,Crime
446. Jafaican,,,,Crime
447. Diari de la meva sextorsió,6.5, (48),1h 4m,Crime
448. Pepe,4.9, (487),2h 6m,Crime
449. Buenas noches,,,,Crime
450. The Sin of Flowers,,,,Crime
451. Rhino Man,8.8, (41),1h 36m,Crime
452. Vampire's House of Cain,4.0, (17),,Crime
