Title,Rating,Voting,Duration,Genre_Title
1. Flow,7.9, (55K),1h 25m,Family
2. Sonic the Hedgehog 3,6.9, (51K),1h 50m,Family
3. Mufasa: The Lion King,6.6, (47K),1h 58m,Family
4. Despicable Me 4,6.2, (62K),1h 34m,Family
5. Paddington in Peru,6.7, (16K),1h 46m,Family
6. Moana 2,6.7, (84K),1h 40m,Family
7. Inside Out 2,7.5, (210K),1h 36m,Family
8. Wallace & Gromit: Vengeance Most Fowl,7.5, (32K),1h 22m,Family
9. Transformers One,7.6, (47K),1h 44m,Family
10. IF,6.4, (56K),1h 44m,Family
11. The Day the Earth Blew Up: A Looney Tunes Movie,6.8, (1.2K),1h 31m,Family
12. Fear,8.6, (2.7K),1h 55m,Family
13. The Garfield Movie,5.7, (23K),1h 41m,Family
14. The Forge,6.7, (4.5K),2h 4m,Family
15. Kung Fu Panda 4,6.3, (66K),1h 34m,Family
16. Descendants: The Rise of Red,4.7, (6.9K),1h 31m,Family
17. Harold and the Purple Crayon,5.7, (7.8K),1h 30m,Family
18. A Sloth Story,5.9, (160),1h 30m,Family
19. Young Hearts,8.1, (4.3K),1h 37m,Family
20. How to Make Millions Before Grandma Dies,8.0, (13K),2h 5m,Family
21. Hitpig,5.1, (817),1h 26m,Family
22. Spellbound,5.7, (6.3K),1h 49m,Family
23. Lost on a Mountain in Maine,6.2, (1.1K),1h 38m,Family
24. Piece by Piece,6.9, (5K),1h 33m,Family
25. Faith of Angels,5.9, (166),1h 38m,Family
26. Megamind vs. The Doom Syndicate,2.5, (5.4K),1h 23m,Family
27. Panda Plan,5.1, (1.1K),1h 39m,Family
28. You Gotta Believe,5.8, (1.2K),1h 44m,Family
29. My Penguin Friend,6.7, (4.6K),1h 37m,Family
30. Unsung Hero,7.0, (4.9K),1h 53m,Family
31. Saving Bikini Bottom: The Sandy Cheeks Movie,3.7, (3.7K),1h 22m,Family
32. Orion and the Dark,6.3, (17K),1h 33m,Family
33. Guest from the Future,6.0, (1.1K),2h 21m,Family
34. Big World,7.4, (960),2h 11m,Family
35. The Thundermans Return,5.0, (1.8K),1h 10m,Family
36. That Christmas,6.8, (17K),1h 31m,Family
37. Thelma the Unicorn,5.7, (2.9K),1h 33m,Family
38. The Lost Tiger,7.8, (31),1h 30m,Family
39. Autumn and the Black Jaguar,5.6, (955),1h 40m,Family
40. The Tiger's Apprentice,5.8, (2.1K),1h 24m,Family
41. Crayon Shin-chan: Ora's Dinosaur Diary,6.6, (303),1h 46m,Family
42. Bambi: A Tale of Life in the Woods,5.7, (149),1h 25m,Family
43. 10 Lives,5.9, (1.8K),1h 28m,Family
44. Doraemon the Movie: Nobita's Earth Symphony,6.6, (1.4K),1h 55m,Family
45. Ultraman: Rising,6.9, (6.2K),1h 57m,Family
46. Storm Crashers,6.3, (549),1h 28m,Family
47. 200% Wolf,6.0, (1.3K),1h 38m,Family
48. Woody Woodpecker Goes to Camp,4.5, (2.5K),1h 40m,Family
49. Woodwalkers,5.4, (326),1h 43m,Family
50. Meiyazhagan,8.4, (13K),2h 57m,Family
51. Runt,6.4, (489),1h 31m,Family
52. Buffalo Kids,6.6, (622),1h 33m,Family
53. Bibi Rajni,8.6, (707),2h 23m,Family
54. Average Joe,4.2, (559),1h 40m,Family
55. Rebellious,6.0, (155),1h 34m,Family
56. Der Buchspazierer,7.3, (344),1h 38m,Family
57. Ghost Cat Anzu,6.5, (672),1h 37m,Family
58. The Night Before Christmas in Wonderland,6.3, (506),1h 20m,Family
59. My Freaky Family,6.5, (384),1h 26m,Family
60. Ryan's World the Movie: Titan Universe Adventure,1.8, (633),1h 20m,Family
61. Savages,7.0, (265),1h 27m,Family
62. The Groomsmen: First Look,6.1, (373),1h 22m,Family
