Title,Rating,Voting,Duration,Genre_Title
1. Moana 2,6.7, (87K),1h 40m,Adventure
2. Flow,7.9, (58K),1h 25m,Adventure
3. Gladiator II,6.6, (216K),2h 28m,Adventure
4. Sonic the Hedgehog 3,6.9, (52K),1h 50m,Adventure
5. Venom: The Last Dance,6.0, (107K),1h 50m,Adventure
6. Dune: Part Two,8.5, (612K),2h 46m,Adventure
7. Mufasa: The Lion King,6.6, (47K),1h 58m,Adventure
8. The Lord of the Rings: The War of the Rohirrim,6.3, (28K),2h 14m,Adventure
9. Furiosa: A Mad Max Saga,7.5, (280K),2h 28m,Adventure
10. Deadpool & Wolverine,7.6, (479K),2h 8m,Adventure
11. The Day the Earth Blew Up: A Looney Tunes Movie,7.0, (1.9K),1h 31m,Adventure
12. Borderlands,4.7, (45K),1h 41m,Adventure
13. Paddington in Peru,6.7, (17K),1h 46m,Adventure
14. Night of the Zoopocalypse,6.3, (324),1h 31m,Adventure
15. Twisters,6.5, (160K),2h 2m,Adventure
16. Civil War,7.0, (232K),1h 49m,Adventure
17. Despicable Me 4,6.2, (62K),1h 34m,Adventure
18. The Count of Monte-Cristo,7.6, (32K),2h 58m,Adventure
19. Marco,6.9, (20K),2h 25m,Adventure
20. Inside Out 2,7.5, (211K),1h 36m,Adventure
21. Kingdom of the Planet of the Apes,6.9, (149K),2h 25m,Adventure
22. Red One,6.3, (137K),2h 3m,Adventure
23. Transformers One,7.6, (47K),1h 44m,Adventure
24. Solo Leveling: ReAwakening,8.7, (6.8K),2h 1m,Adventure
25. Bad Boys: Ride or Die,6.5, (98K),1h 55m,Adventure
26. Love Lies Bleeding,6.6, (56K),1h 44m,Adventure
27. Damsel,6.1, (108K),1h 50m,Adventure
28. Ghostbusters: Frozen Empire,6.1, (92K),1h 55m,Adventure
29. The Return,6.2, (7.4K),1h 56m,Adventure
30. Madame Web,4.0, (99K),1h 56m,Adventure
31. Godzilla x Kong: The New Empire,6.1, (119K),1h 55m,Adventure
32. Freaky Tales,6.4, (364),1h 46m,Adventure
33. Wallace & Gromit: Vengeance Most Fowl,7.5, (33K),1h 22m,Adventure
34. Harold and the Purple Crayon,5.7, (7.9K),1h 30m,Adventure
35. Attack on Titan the Movie: The Last Attack,9.3, (14K),2h 25m,Adventure
36. Spaceman,5.7, (42K),1h 47m,Adventure
37. Uglies,4.7, (32K),1h 40m,Adventure
38. Kung Fu Panda 4,6.3, (67K),1h 34m,Adventure
39. The Garfield Movie,5.7, (24K),1h 41m,Adventure
40. Hitpig,5.1, (829),1h 26m,Adventure
41. Kalki 2898 AD,7.0, (66K),3h,Adventure
42. Descendants: The Rise of Red,4.7, (6.9K),1h 31m,Adventure
43. The Empire,5.2, (1.2K),1h 50m,Adventure
44. Atlas,5.6, (55K),1h 58m,Adventure
45. Survive,4.6, (2K),1h 30m,Adventure
46. Rebel Moon - Part Two: The Scargiver,5.3, (59K),2h 2m,Adventure
47. Spellbound,5.7, (6.3K),1h 49m,Adventure
